y_true,y_score
0,0.03649178892374039
1,0.9597263336181641
1,0.9862175583839417
0,0.5515800714492798
0,0.9804948568344116
0,0.9781330823898315
1,0.9782493114471436
0,0.3804526627063751
1,0.9880768060684204
1,0.9873923659324646
1,0.973854124546051
1,0.9721411466598511
1,0.6901143789291382
1,0.45479074120521545
1,0.01393693033605814
0,0.08017747104167938
1,0.041798193007707596
1,0.6439917087554932
1,0.9807468056678772
1,0.9824939370155334
1,0.982991635799408
1,0.9248208403587341
1,0.7460092306137085
1,0.9577884078025818
1,0.9307696223258972
1,0.9861879944801331
1,0.47003844380378723
0,0.8286058902740479
1,0.9309577345848083
1,0.9782982468605042
1,0.9444056749343872
0,0.013432423584163189
1,0.9840883016586304
1,0.9496816992759705
1,0.8989682197570801
0,0.6095729470252991
1,0.9653576016426086
1,0.49664294719696045
1,0.8915349841117859
0,0.009266507811844349
1,0.6595028042793274
1,0.9749670624732971
1,0.9759407639503479
1,0.9897779822349548
0,0.8821861147880554
0,0.006664828862994909
1,0.9740402698516846
1,0.06904829293489456
0,0.024986499920487404
0,0.025882232934236526
1,0.9855881929397583
1,0.9507330060005188
1,0.9875351190567017
1,0.07221056520938873
1,0.978864312171936
1,0.24218027293682098
1,0.8965791463851929
1,0.9246560335159302
1,0.8701469302177429
1,0.9620679616928101
1,0.009887965396046638
1,0.7588720321655273
1,0.9397604465484619
1,0.6032005548477173
1,0.9881036877632141
0,0.04548189043998718
1,0.8697268962860107
1,0.24851752817630768
1,0.9789957404136658
1,0.7788544297218323
1,0.9846753478050232
0,0.010362452827394009
1,0.9840993881225586
1,0.9802367091178894
0,0.5287986993789673
1,0.9749828577041626
1,0.5424647927284241
1,0.8053058981895447
1,0.04471035674214363
1,0.10712533444166183
1,0.9904282093048096
0,0.6668496131896973
0,0.15194092690944672
1,0.7014536261558533
1,0.6510360836982727
0,0.024117669090628624
0,0.18301966786384583
1,0.9893613457679749
1,0.9204978346824646
1,0.9523590207099915
1,0.974266529083252
0,0.03442464396357536
1,0.9737029671669006
1,0.4681771397590637
1,0.9577011466026306
0,0.07017107307910919
1,0.9406976103782654
1,0.11430179327726364
1,0.9236595034599304
0,0.9656025171279907
